"imdbId","tmdbId"
114709,862
113497,8844
113228,15602
114885,31357
113041,11862
113277,949
114319,11860
112302,45325
114576,9091
113189,710
112346,9087
112896,12110
112453,21032
113987,10858
112760,1408
112641,524
114388,4584
113101,5
112281,9273
113845,11517
113161,8012
112722,1710
112401,9691
114168,12665
113627,451
114057,16420
114011,9263
114117,17015
112682,902
115012,37557
112792,9909
114746,63
112431,9598
112637,47018
112818,687
112286,139405
113442,33689
112697,9603
112749,34615
114279,31174
112819,11443
114272,35196
113855,9312
114681,577
113347,11861
114369,807
114148,10530
114916,8391
114814,629
113819,11448
110299,49133
112499,26441
113158,97406
113321,9089
110877,11010
112714,99040
113419,11359
116260,17182
113862,2054
116126,10607
118002,19760
115683,9536
116839,11525
113149,4482
113118,10634
116367,755
113010,11859
113537,28387
113828,48750
115644,20927
114367,9102
113973,124626
112744,27526
116731,9623
112445,46785
114660,400
112379,880
114039,146599
113612,188588
112365,8447
118158,10534
116151,17414
115697,13997
113972,2086
117002,9095
114825,12158
115639,9283
115759,9208
113403,40154
113247,406
111173,45549
113283,63076
115907,11062
115734,13685
117102,47475
118040,2045
116483,9614
112579,688
117110,10874
112646,89333
112573,197
75314,103
113326,33542
115645,43566
113774,71754
112373,51352
115033,16934
116606,10324
114536,78406
106473,32119
103859,11066
109424,11104
114808,37975
116324,2074
110647,27793
114131,110972
112364,32622
113107,73067
113451,11863
116130,9101
113756,5757
118055,9302
115685,11000
112585,16388
112442,9737
112342,30765
112461,10474
112427,22279
109093,30157
112384,568
114287,11780
112288,34996
112462,414
61395,649
112495,1873
112541,5894
109370,1775
112642,8839
112688,20649
112715,10329
112740,8963
109508,26564
112851,8068
112857,8512
112864,1572
112887,13552
113044,259209
113071,6520
113114,9073
113243,10428
113464,17447
113481,9886
113492,9482
113500,19326
113540,9344
113677,9071
113690,8973
107447,15730
113729,47608
113749,2293
113820,9070
110604,48787
110620,34574
113957,1642
113986,11472
114095,36196
114194,11980
114241,58372
114323,32646
114345,10533
114436,10802
114478,10149
114496,18402
114508,9348
114558,281
58450,5967
114666,79593
114663,47939
114702,36834
114682,9090
114781,3512
114798,52856
114805,77350
114887,9560
114898,9804
114928,31611
109340,49805
111579,50797
110882,19155
112471,76
112508,11017
112438,37141
112571,9382
112757,6715
112643,18256
112679,22625
109445,2292
112883,1909
109635,8984
109676,4954
112854,62488
109579,10531
109642,11929
109686,8467
111797,10451
109759,20156
109758,18395
109707,522
113117,397
113097,10525
113028,27985
